Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
57.4,4437743635,231,19211011.4,14598473.0,203260,51954105,13533933.3,vkCreateComputePipelines
14.6,1132343222,816,1387675.5,107686.5,3076,40880372,4504039.9,vkCreateGraphicsPipelines
7.4,572377674,1,572377674.0,572377674.0,572377674,572377674,0.0,vkCreateDevice
4.8,368437156,4590,80269.5,79609.0,16642,918036,23607.1,vkQueuePresentKHR
4.2,321682595,74393,4324.1,2665.0,1623,2359842,13224.8,vkQueueSubmit
3.5,268416550,1007615,266.4,190.0,40,2721608,2734.1,vkCmdBindPipeline
2.7,206427138,724923,284.8,191.0,80,628425,1315.9,vkCmdPipelineBarrier2KHR
1.0,76886778,74394,1033.5,942.0,230,308968,1306.9,vkBeginCommandBuffer
0.8,62614508,118,530631.4,174531.0,37350,6218486,1003175.7,vkAllocateMemory
0.7,57618875,3,19206291.7,3223356.0,3011360,51384159,27867052.1,vkCreateSwapchainKHR
0.7,54538392,74393,733.1,360.0,80,56386,1219.7,vkEndCommandBuffer
0.5,37513539,18379,2041.1,1973.0,712,34485,1433.9,vkGetAccelerationStructureBuildSizesKHR
0.4,32629253,32,1019664.2,334039.5,217727,20860812,3625946.5,vkCreateFence
0.2,13832441,582,23767.1,14081.0,792,170950,28061.6,vkCreateShaderModule
0.2,11781177,15,785411.8,124453.0,35617,8939063,2266145.9,vkFreeMemory
0.1,11528044,4634,2487.7,475.5,311,2592026,48888.4,vkWaitForFences
0.1,11144794,1834,6076.8,480.0,390,1090429,50692.9,vkBindImageMemory
0.1,10091060,21758,463.8,241.0,40,12684,560.5,vkCreateBuffer
0.1,9643758,5019,1921.5,792.0,171,1059260,20884.9,vkCreateImageView
0.1,7363917,4,1840979.3,1660674.5,1567842,2474726,425162.8,vkDeviceWaitIdle
0.1,5886602,11884,495.3,411.0,130,31839,460.6,vkCreateAccelerationStructureKHR
0.1,5411476,1763,3069.5,1613.0,1001,17853,3037.9,vkGetQueryPoolResults
0.1,4993289,4590,1087.9,902.0,631,7855,510.0,vkAcquireNextImageKHR
0.1,4377490,1834,2386.9,521.0,160,2381162,55670.5,vkCreateImage
0.0,3287534,21695,151.5,50.0,30,32801,320.0,vkBindBufferMemory2
0.0,3161060,9181,344.3,301.0,40,6702,190.2,vkDestroyAccelerationStructureKHR
0.0,1724191,4590,375.6,281.0,110,2314,234.4,vkResetEvent
0.0,1396906,4591,304.3,281.0,230,14598,221.7,vkCmdPipelineBarrier
0.0,1130605,5421,208.6,180.0,20,6702,153.0,vkResetQueryPoolEXT
0.0,320001,130,2461.5,2405.0,1012,25127,2232.0,vkCreateEvent
0.0,197365,613,322.0,200.0,50,4579,390.2,vkCreateFramebuffer
0.0,195445,38,5143.3,4022.5,421,26029,4610.3,vkAllocateCommandBuffers
0.0,76176,52,1464.9,901.5,230,9788,1542.9,vkCreateRenderPass2KHR
0.0,71405,63,1133.4,932.0,401,4799,838.5,vkBindBufferMemory
0.0,6792,30,226.4,195.0,41,752,198.5,vkMapMemory
0.0,1753,2,876.5,876.5,751,1002,177.5,vkTrimCommandPool
0.0,1383,1,1383.0,1383.0,1383,1383,0.0,vkDestroyEvent
0.0,1042,1,1042.0,1042.0,1042,1042,0.0,vkDestroySemaphore
0.0,812,1,812.0,812.0,812,812,0.0,vkCreateCommandPool
