Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.3,4304563563,231,18634474.3,13822373.0,269513,50400702,13385050.1,vkCreateComputePipelines
10.0,906535248,793,1143171.8,97372.0,2966,36675320,3967519.3,vkCreateGraphicsPipelines
8.7,793761848,10286,77169.1,74760.0,16591,1147426,18530.7,vkQueuePresentKHR
7.9,715335192,166918,4285.5,2645.0,1643,1404546,6331.9,vkQueueSubmit
6.5,590495658,1,590495658.0,590495658.0,590495658,590495658,0.0,vkCreateDevice
5.6,512936386,2236013,229.4,170.0,40,197940,293.9,vkCmdBindPipeline
4.7,431480388,1566338,275.5,191.0,80,87854,626.4,vkCmdPipelineBarrier2KHR
2.6,235858982,166919,1413.0,1162.0,230,559757,2096.2,vkBeginCommandBuffer
1.8,163623284,166918,980.3,521.0,80,227395,1634.2,vkEndCommandBuffer
1.3,120651909,12142,9936.7,491.0,300,3236622,115194.4,vkWaitForFences
1.2,108109757,2,54054878.5,54054878.5,23852716,84257041,42712307.8,vkCreateSwapchainKHR
0.8,71024516,41161,1725.5,1934.0,661,96741,970.7,vkGetAccelerationStructureBuildSizesKHR
0.4,37508995,92,407706.5,127688.5,40025,5173172,783607.3,vkAllocateMemory
0.3,27598086,33,836305.6,338072.0,214851,15190000,2585500.1,vkCreateFence
0.1,13615140,567,24012.6,14076.0,862,188632,28324.9,vkCreateShaderModule
0.1,12712127,38647,328.9,221.0,40,11882,338.5,vkCreateBuffer
0.1,10958176,23960,457.4,421.0,120,16511,276.4,vkCreateAccelerationStructureKHR
0.1,9430649,10286,916.8,871.0,631,8456,289.7,vkAcquireNextImageKHR
0.1,7833984,1001,7826.2,872.0,200,2438580,107199.4,vkCreateImageView
0.1,6541995,20571,318.0,281.0,40,12764,226.9,vkDestroyAccelerationStructureKHR
0.1,4708503,2,2354251.5,2354251.5,1685431,3023072,945855.0,vkDeviceWaitIdle
0.1,4591969,400,11479.9,491.0,391,1596695,89890.3,vkBindImageMemory
0.0,3632879,2496,1455.5,1242.0,1001,12123,801.9,vkGetQueryPoolResults
0.0,3568885,38603,92.5,40.0,30,14186,165.0,vkBindBufferMemory2
0.0,3192728,10286,310.4,290.0,220,1733,71.8,vkCmdPipelineBarrier
0.0,2867124,10285,278.8,261.0,120,7985,162.6,vkResetEvent
0.0,2169561,11093,195.6,171.0,20,5711,111.1,vkResetQueryPoolEXT
0.0,939713,400,2349.3,862.0,181,307535,15384.4,vkCreateImage
0.0,743177,9,82575.2,42329.0,35215,329947,94644.5,vkFreeMemory
0.0,306413,197,1555.4,711.0,310,14918,2359.4,vkAllocateCommandBuffers
0.0,237721,96,2476.3,2419.5,1002,13456,1675.8,vkCreateEvent
0.0,71647,52,1377.8,917.0,211,5972,1216.1,vkCreateRenderPass2KHR
0.0,40338,44,916.8,812.0,451,2765,444.4,vkBindBufferMemory
0.0,39371,123,320.1,110.0,50,4910,770.7,vkCreateFramebuffer
0.0,3014,21,143.5,120.0,40,391,115.2,vkMapMemory
0.0,1633,2,816.5,816.5,631,1002,262.3,vkTrimCommandPool
0.0,1432,1,1432.0,1432.0,1432,1432,0.0,vkDestroySemaphore
0.0,1282,1,1282.0,1282.0,1282,1282,0.0,vkDestroyEvent
0.0,1032,1,1032.0,1032.0,1032,1032,0.0,vkCreateCommandPool
0.0,1002,1,1002.0,1002.0,1002,1002,0.0,vkCreateSemaphore
